date,value
2013-04-01,347250
2013-05-01,347750
2013-06-01,344600
2013-07-01,346000
2013-08-01,333400
2013-09-01,314000
2013-10-01,358500
2013-11-01,328200
2013-12-01,346000
2014-01-01,326750
2014-02-01,335250
2014-03-01,321000
2014-04-01,322750
2014-05-01,313800
2014-06-01,313500
2014-07-01,301750
2014-08-01,302000
2014-09-01,295000
2014-10-01,288750
2014-11-01,291600
2014-12-01,284500
2015-01-01,287600
2015-02-01,301250
2015-03-01,284000
2015-04-01,286000
2015-05-01,274000
2015-06-01,273750
2015-07-01,277750
2015-08-01,275200
2015-09-01,269500
2015-10-01,267000
2015-11-01,268500
2015-12-01,271000
2016-01-01,279600
2016-02-01,266750
2016-03-01,263250
2016-04-01,266000
2016-05-01,274500
2016-06-01,265250
2016-07-01,259400
2016-08-01,263500
2016-09-01,251500
2016-10-01,255800
2016-11-01,245750
2016-12-01,252200
2017-01-01,244000
2017-02-01,230250
2017-03-01,233750
2017-04-01,227800
2017-05-01,239000
2017-06-01,248000
2017-07-01,250800
2017-08-01,247750
2017-09-01,272400
2017-10-01,242250
2017-11-01,247750
2017-12-01,242600
2018-01-01,235250
2018-02-01,221000
2018-03-01,225800
2018-04-01,221500
2018-05-01,221250
2018-06-01,222600
2018-07-01,209500
2018-08-01,208500
2018-09-01,205200
2018-10-01,213000
2018-11-01,225250
2018-12-01,224600
2019-01-01,222750
2019-02-01,222500
2019-03-01,211800
2019-04-01,209750
2019-05-01,218500
2019-06-01,225200
2019-07-01,208500
2019-08-01,211000
2019-09-01,209500
2019-10-01,212250
2019-11-01,224400
2019-12-01,236000
2020-01-01,215500
2020-02-01,210200
2020-03-01,2335250
2020-04-01,4663250
2020-05-01,2173400
2020-06-01,1490250
2020-07-01,1383500
2020-08-01,922400
2020-09-01,851750
2020-10-01,795400
2020-11-01,751250
2020-12-01,836750
2021-01-01,827800
2021-02-01,755000
2021-03-01,669250
2021-04-01,589000
2021-05-01,469200
2021-06-01,409750
2021-07-01,370000
2021-08-01,360000
2021-09-01,355500
2021-10-01,284800
2021-11-01,236500
2021-12-01,216250
2022-01-01,237600
2022-02-01,219500
2022-03-01,215000
2022-04-01,213200
2022-05-01,210000
2022-06-01,213500
2022-07-01,218200
2022-08-01,216500
2022-09-01,197750
2022-10-01,202400
2022-11-01,210750
2022-12-01,208000
2023-01-01,203500
2023-02-01,215000
2023-03-01,228750
2023-04-01,216600
2023-05-01,226250
2023-06-01,251750
2023-07-01,234800
2023-08-01,245000
2023-09-01,219000
2023-10-01,210250
2023-11-01,218000
2023-12-01,207400
2024-01-01,210000
2024-02-01,210750
2024-03-01,215000
2024-04-01,210250
2024-05-01,222000
2024-06-01,235600
2024-07-01,236500
2024-08-01,230800
2024-09-01,225000
2024-10-01,236250
2024-11-01,219400
2024-12-01,222250
2025-01-01,213500
2025-02-01,226000
2025-03-01,223200
2025-04-01,
2025-05-01,
